PVSYST 7.2.3
;File;File date;Description
Projekt;Koethen_Project.PRJ;16/06/21 11h41;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Köthen_PVGIS_SARAH_2005 nach 2016.SIT;16/06/21 11h41;Köthen;Germany;Europe;;
Wetterdaten;Köthen_PVGIS_SARAH_2009.MET;16/06/21 00h42;Köthen;PVGIS-SARAH;2009;
Simulationsvariante;Koethen_Project.VCN;16/06/21 12h20;Köthen Simulation 2009 WR1;
Simulation date;;16/06/21 12h24

Simulation:;Stundenwerte; von 01/01/09; bis 31/12/09 

Datum;GlobInc;T_Amb;WindVel;AzSol;AngInc;HSol;AngProf;UArray;IArray;TArray;E_Grid;EOutInv;EArray
     ;W/m²;°C;m/s;°;°;°;°;V;A;°C;kW;kW;kW

01/01/09 00:00;0;0;0;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 01:00;0;-6.2;3.8799;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 02:00;0;-5.7501;3.8799;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 03:00;0;-5.31;3.8799;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 04:00;0;-4.8698;3.8799;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 05:00;0;-4.7402;4.03;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 06:00;0;-4.6097;4.1799;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 07:00;0;-4.48;4.33;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 08:00;0;-4.0901;4.24;-49.713;70.319;0.8937;1.382;0;0;0;-0.003;-0.003;0
01/01/09 09:00;14.628;-3.7002;4.1499;-42.237;63.615;5.0099;6.7526;641.52;1.4522;-3.1754;0.5716;0.5716;0.9316
01/01/09 10:00;35.82;-3.3201;4.06;-29.409;54.174;10.443;11.946;662.06;3.649;-2.056;2.0831;2.0831;2.4159
01/01/09 11:00;29.647;-2.55;3.94;-15.744;47.424;14.009;14.532;655.69;3.0015;-1.5028;1.6288;1.6288;1.9681
01/01/09 12:00;34.327;-1.7897;3.8201;-1.5274;44.61;15.404;15.409;656.98;3.4889;-0.5784;1.9587;1.9587;2.2921
01/01/09 13:00;27.711;-1.0302;3.7;12.748;46.455;14.495;14.846;650.03;2.801;-0.0496;1.4785;1.4785;1.8208
01/01/09 14:00;23.157;-1.0902;3.39;26.563;52.469;11.371;12.672;645.92;2.3297;-0.2684;1.1562;1.1562;1.5048
01/01/09 15:00;0;-1.1599;3.09;39.579;61.435;6.3052;8.1583;0;0;0;-0.003;-0.003;0
01/01/09 16:00;0;-1.2199;2.79;48.366;69.052;1.6862;2.5372;0;0;0;-0.003;-0.003;0
01/01/09 17:00;0;-1.2896;2.57;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 18:00;0;-1.3699;2.36;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 19:00;0;-1.4501;2.1499;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 20:00;0;-1.3998;1.94;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 21:00;0;-1.3601;1.73;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 22:00;0;-1.3099;1.5201;0;90;0;0;0;0;0;-0.003;-0.003;0
01/01/09 23:00;0;-1.2702;1.48;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 00:00;0;-1.2296;1.43;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 01:00;0;-1.1899;1.39;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 02:00;0;-1.4501;1.39;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 03:00;0;-1.72;1.38;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 04:00;0;-1.9899;1.38;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 05:00;0;-1.9599;1.3199;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 06:00;0;-1.9299;1.2701;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 07:00;0;-1.9;1.21;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 08:00;0;-1.6997;1.07;-49.854;70.349;0.9239;1.4329;0;0;0;-0.003;-0.003;0
02/01/09 09:00;66.958;-1.5004;0.93;-42.376;63.63;5.0498;6.821;669.38;6.7884;0.8157;4.221;4.221;4.544
02/01/09 10:00;99.536;-1.3001;0.79;-29.543;54.159;10.501;12.027;675.35;10.38;2.2149;6.6965;6.6965;7.0101
02/01/09 11:00;44.777;-0.98;1.0199;-15.869;47.371;14.086;14.62;660.57;4.5829;0.5988;2.6976;2.6976;3.0273
02/01/09 12:00;113.96;-0.6703;1.2601;-1.6384;44.516;15.5;15.506;675.4;11.93;3.3631;7.7465;7.7465;8.0576
02/01/09 13:00;25.846;-0.3599;1.49;12.655;46.33;14.608;14.956;646.58;2.6074;0.5558;1.3409;1.3409;1.6859
02/01/09 14:00;136.17;-0.6201;1.8799;26.49;52.329;11.496;12.803;677.03;14.299;4.2036;9.3716;9.3716;9.6809
02/01/09 15:00;7.661;-0.89;2.26;39.526;61.292;6.4388;8.3238;615.92;0.7295;-0.6104;0.0796;0.0796;0.4493
02/01/09 16:00;0;-1.1502;2.65;48.524;69.095;1.708;2.5779;0;0;0;-0.003;-0.003;0
02/01/09 17:00;0;-1.7297;2.4499;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 18:00;0;-2.3101;2.24;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 19:00;0;-2.9002;2.04;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 20:00;0;-3.6402;2.22;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 21:00;0;-4.39;2.3901;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 22:00;0;-5.1398;2.57;0;90;0;0;0;0;0;-0.003;-0.003;0
02/01/09 23:00;0;-5.5702;2.4299;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 00:00;0;-6.0103;2.3;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 01:00;0;-6.4399;2.1699;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 02:00;0;-7.03;2.1799;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 03:00;0;-7.6298;2.1899;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 04:00;0;-8.2296;2.21;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 05:00;0;-7.8203;2.62;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 06:00;0;-7.4101;3.0299;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 07:00;0;-7;3.43;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 08:00;0;-6.4196;3.8301;-49.997;70.374;0.9606;1.4942;0;0;0;-0.003;-0.003;0
03/01/09 09:00;18.131;-5.8304;4.23;-42.517;63.64;5.0963;6.899;652.82;1.8121;-5.1845;0.828;0.828;1.183
03/01/09 10:00;144.78;-5.25;4.63;-29.678;54.138;10.565;12.116;689.29;15.157;-0.1544;10.139;10.139;10.448
03/01/09 11:00;97.871;-4.27;4.83;-15.995;47.311;14.17;14.716;682.8;10.163;-0.8333;6.6253;6.6253;6.9392
03/01/09 12:00;117.69;-3.2901;5.0199;-1.7487;44.416;15.603;15.61;682.47;12.314;0.8647;8.093;8.093;8.4037
03/01/09 13:00;56.351;-2.3198;5.21;12.564;46.199;14.727;15.072;668.69;5.7916;-0.3379;3.5472;3.5472;3.8728
03/01/09 14:00;114.7;-2.49;5.3199;26.421;52.184;11.628;12.94;680.14;12.005;1.5639;7.8542;7.8542;8.1652
03/01/09 15:00;11.184;-2.6497;5.43;39.476;61.144;6.5782;8.4971;631.44;1.0938;-2.2462;0.3258;0.3258;0.6906
03/01/09 16:00;0;-2.8199;5.5301;48.686;69.135;1.7352;2.6273;0;0;0;-0.003;-0.003;0
03/01/09 17:00;0;-2.7;5.79;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 18:00;0;-2.5897;6.05;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 19:00;0;-2.4803;6.3;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 20:00;0;-2.1002;6.51;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 21:00;0;-1.7297;6.7101;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 22:00;0;-1.3601;6.91;0;90;0;0;0;0;0;-0.003;-0.003;0
03/01/09 23:00;0;-0.9897;6.9901;0;90;0;0;0;0;0;-0.003;-0.003;0
