PVSYST 7.2.4
;File;File date;Description
Projekt;Madrid_Project.PRJ;03/08/21 17h06;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Madrid_PVGIS_SARAH_2005 nach 2016.SIT;03/08/21 17h06;Madrid;Spain;Europe;;
Wetterdaten;Cármenes_PVGIS_SARAH_2015.MET;03/08/21 17h04;Cármenes;PVGIS-SARAH;2015;
Simulationsvariante;Madrid_Project.VC0;03/08/21 17h47;Neue Simulationsvariante;
Simulation date;;03/08/21 17h51

Simulation:;Stundenwerte; von 01/01/15; bis 31/12/15 

Datum;GlobInc;EArray;E_Grid;HSol;AzSol;AngInc;AngProf;T_Amb;WindVel;TExtON;TArray;IArray;UArray;EOutInv
     ;W/m²;kW;kW;°;°;°;°;°C;m/s;°C;°C;A;V;kW

01/01/15 00:00;0;0;-0.012;0;0;90;0;0.0002;0;0;0;0;0;-0.012
01/01/15 01:00;0;0;-0.012;0;0;90;0;-1.4402;0.87;0;0;0;0;-0.012
01/01/15 02:00;0;0;-0.012;0;0;90;0;-1.5003;0.75;0;0;0;0;-0.012
01/01/15 03:00;0;0;-0.012;0;0;90;0;-1.55;0.6401;0;0;0;0;-0.012
01/01/15 04:00;0;0;-0.012;0;0;90;0;-1.6003;0.52;0;0;0;0;-0.012
01/01/15 05:00;0;0;-0.012;0;0;90;0;-1.8898;0.9;0;0;0;0;-0.012
01/01/15 06:00;0;0;-0.012;0;0;90;0;-2.18;1.28;0;0;0;0;-0.012
01/01/15 07:00;0;0;-0.012;0;0;90;0;-2.4701;1.6599;0;0;0;0;-0.012
01/01/15 08:00;0;0;-0.012;0;0;90;0;-1.58;1.75;0;0;0;0;-0.012
01/01/15 09:00;134.43;35.104;33.863;4.7409;-54.356;68.78;8.0997;-0.6997;1.8399;0;3.7459;51.729;678.6;33.863
01/01/15 10:00;451.85;124.77;123.14;13.218;-43.599;56.597;17.97;0.1898;1.93;0;16.149;186.09;670.48;123.14
01/01/15 11:00;652.39;176.98;174.84;20.158;-31.117;45.551;23.209;2.6;1.6599;0;26.13;273.29;647.6;174.84
01/01/15 12:00;797.09;211.09;208.24;24.829;-17.035;37.106;25.823;5.0103;1.39;0;34.084;335.4;629.36;208.24
01/01/15 13:00;857.09;223.33;220.21;26.707;-1.8279;33.317;26.718;7.4297;1.1199;0;38.886;361.37;618.01;220.21
01/01/15 14:00;825.78;215.49;212.54;25.54;13.513;35.705;26.171;7.9898;0.93;0;38.239;347.59;619.95;212.54
01/01/15 15:00;700.77;185.02;182.72;21.488;27.926;43.256;24.016;8.5597;0.74;0;34.028;294.04;629.23;182.72
01/01/15 16:00;510.31;136.47;134.74;15.031;40.798;53.832;19.531;9.1198;0.55;0;27.415;212.09;643.48;134.74
01/01/15 17:00;255.3;66.583;65.353;6.7503;52.069;65.982;10.899;8.08;0.93;0;16.767;100.95;659.54;65.353
01/01/15 18:00;0;0;-0.012;1.1274;58.179;73.703;2.1375;7.0402;1.3099;0;0;0;0;-0.012
01/01/15 19:00;0;0;-0.012;0;0;90;0;5.9998;1.7;0;0;0;0;-0.012
01/01/15 20:00;0;0;-0.012;0;0;90;0;4.2999;1.62;0;0;0;0;-0.012
01/01/15 21:00;0;0;-0.012;0;0;90;0;2.6;1.54;0;0;0;0;-0.012
01/01/15 22:00;0;0;-0.012;0;0;90;0;0.9002;1.46;0;0;0;0;-0.012
01/01/15 23:00;0;0;-0.012;0;0;90;0;0.2002;1.57;0;0;0;0;-0.012
02/01/15 00:00;0;0;-0.012;0;0;90;0;-0.4997;1.6801;0;0;0;0;-0.012
02/01/15 01:00;0;0;-0.012;0;0;90;0;-1.1899;1.79;0;0;0;0;-0.012
02/01/15 02:00;0;0;-0.012;0;0;90;0;-1.6401;1.96;0;0;0;0;-0.012
02/01/15 03:00;0;0;-0.012;0;0;90;0;-2.0898;2.13;0;0;0;0;-0.012
02/01/15 04:00;0;0;-0.012;0;0;90;0;-2.5401;2.3;0;0;0;0;-0.012
02/01/15 05:00;0;0;-0.012;0;0;90;0;-2.7603;2.31;0;0;0;0;-0.012
02/01/15 06:00;0;0;-0.012;0;0;90;0;-2.9701;2.31;0;0;0;0;-0.012
02/01/15 07:00;0;0;-0.012;0;0;90;0;-3.1799;2.32;0;0;0;0;-0.012
02/01/15 08:00;0;0;-0.012;0;0;90;0;-2.2499;2.24;0;0;0;0;-0.012
02/01/15 09:00;141.16;36.924;35.685;4.7402;-54.498;68.842;8.1262;-1.3297;2.1699;0;3.3278;54.248;680.66;35.685
02/01/15 10:00;455.79;126.05;124.42;13.236;-43.743;56.639;18.033;-0.3997;2.1;0;15.689;187.68;671.64;124.42
02/01/15 11:00;659.18;178.79;176.62;20.198;-31.261;45.562;23.286;2.4301;1.58;0;26.207;276.15;647.43;176.62
02/01/15 12:00;797.72;211.04;208.18;24.895;-17.172;37.072;25.907;5.2698;1.07;0;34.374;335.67;628.7;208.18
02/01/15 13:00;844.04;219.75;216.71;26.798;-1.9485;33.229;26.811;8.1101;0.55;0;39.084;355.76;617.7;216.71
02/01/15 14:00;852.54;221;217.92;25.653;13.418;35.577;26.277;8.7303;0.57;0;40.017;359.18;615.28;217.92
02/01/15 15:00;639.26;169.51;167.45;21.616;27.861;43.115;24.142;9.3603;0.5899;0;32.549;268.06;632.35;167.45
02/01/15 16:00;344.07;92.88;91.559;15.168;40.759;53.692;19.692;9.9903;0.6099;0;22.269;142.36;652.44;91.559
02/01/15 17:00;121.24;31.561;30.316;6.8905;52.051;65.848;11.117;8.4898;0.91;0;12.663;48.218;654.55;30.316
02/01/15 18:00;0;0;-0.012;1.1066;58.335;73.79;2.1073;6.9899;1.22;0;0;0;0;-0.012
02/01/15 19:00;0;0;-0.012;0;0;90;0;5.4998;1.53;0;0;0;0;-0.012
02/01/15 20:00;0;0;-0.012;0;0;90;0;3.6797;1.75;0;0;0;0;-0.012
02/01/15 21:00;0;0;-0.012;0;0;90;0;1.87;1.96;0;0;0;0;-0.012
02/01/15 22:00;0;0;-0.012;0;0;90;0;0.0597;2.1799;0;0;0;0;-0.012
02/01/15 23:00;0;0;-0.012;0;0;90;0;-0.4298;2.3801;0;0;0;0;-0.012
03/01/15 00:00;0;0;-0.012;0;0;90;0;-0.9199;2.58;0;0;0;0;-0.012
03/01/15 01:00;0;0;-0.012;0;0;90;0;-1.4101;2.79;0;0;0;0;-0.012
03/01/15 02:00;0;0;-0.012;0;0;90;0;-1.7101;2.5601;0;0;0;0;-0.012
03/01/15 03:00;0;0;-0.012;0;0;90;0;-2.0101;2.34;0;0;0;0;-0.012
03/01/15 04:00;0;0;-0.012;0;0;90;0;-2.31;2.11;0;0;0;0;-0.012
