PVSYST 7.2.11
;File;File date;Description
Projekt;München_Project.PRJ;17/02/22 10h48;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Munich Altstadt_PVGIS_API_TMY.SIT;17/02/22 10h48;Munich Altstadt;Germany;Europe;;
Wetterdaten;Munich_PVGIS_SARAH_2009.MET;17/02/22 10h46;Munich;PVGIS-SARAH;2009;
Simulationsvariante;München_Project.VE0;17/02/22 10h28;Hamburg3;
Simulation date;;17/02/22 10h49

Simulation:;Stundenwerte; von 01/01/09; bis 31/12/09 

Datum;GlobInc;T_Amb;WindVel;AzSol;AngInc;HSol;AngProf;UArray;IArray;TArray;E_Grid;EOutInv;EArray
     ;W/m²;°C;m/s;°;°;°;°;V;A;°C;kW;kW;kW

01/01/09 00:00;0;-0,0003;0;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 01:00;0;-2,1897;2,07;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 02:00;0;-1,9202;2,07;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 03:00;0;-1,6499;2,07;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 04:00;0;-1,3797;2,07;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 05:00;0;-1,1899;2,1;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 06:00;0;-1,0001;2,13;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 07:00;0;-0,8103;2,1701;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 08:00;0;-0,4801;2,3499;-51,643;70,111;1,9928;3,2093;0;0;0;-0,012;-0,012;0
01/01/09 09:00;41,89;-0,1597;2,5401;-42,829;61,534;7,5034;10,182;645,73;16,461;1,318;9,3032;9,3032;10,63
01/01/09 10:00;30,611;0,1697;2,73;-30,139;51,533;13,456;15,466;638,06;11,946;1,2535;6,2602;6,2602;7,6224
01/01/09 11:00;37,935;0,3102;2,97;-16,398;44,205;17,414;18,105;642,39;14,871;1,6496;8,2211;8,2211;9,5531
01/01/09 12:00;99,172;0,4499;3,22;-1,9433;41,012;19,011;19,022;659,1;39,552;3,9359;24,807;24,807;26,069
01/01/09 13:00;43,633;0,5903;3,46;12,604;42,893;18,08;18,497;644,59;17,158;2,1294;9,7354;9,7354;11,06
01/01/09 14:00;40,198;0,4499;2,7801;26,582;49,268;14,72;16,372;643,26;15,789;1,8695;8,8279;8,8279;10,157
01/01/09 15:00;20,478;0,3201;2,0901;39,564;58,686;9,2559;11,936;628,27;7,9149;1,0506;3,5575;3,5575;4,9727
01/01/09 16:00;0;0,1804;1,41;50,127;68,546;3,0217;4,707;0;0;0;-0,012;-0,012;0
01/01/09 17:00;0;-0,2402;1,39;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 18:00;0;-0,66;1,3701;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 19:00;0;-1,0798;1,35;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 20:00;0;-1,2301;1,0501;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 21:00;0;-1,3797;0,74;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 22:00;0;-1,53;0,4401;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/09 23:00;0;-1,9103;0,3901;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 00:00;0;-2,2899;0,34;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 01:00;0;-2,6702;0,29;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 02:00;0;-2,8304;0,34;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 03:00;0;-2,9799;0,38;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 04:00;0;-3,1302;0,43;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 05:00;0;-3,2502;0,51;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 06:00;0;-3,38;0,59;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 07:00;0;-3,5098;0,6801;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 08:00;0;-3,2896;0,8401;-51,786;70,151;2,0137;3,2531;0;0;0;-0,012;-0,012;0
02/01/09 09:00;132,68;-3,0703;1,0001;-42,97;61,557;7,5369;10,249;671,1;52,473;1,5271;33,974;33,974;35,215
02/01/09 10:00;169,17;-2,8501;1,1601;-30,277;51,526;13,509;15,546;672,18;68,318;3,1199;44,692;44,692;45,922
02/01/09 11:00;40,793;-2,6702;1,44;-16,527;44,157;17,488;18,193;651,8;16,003;-1,2343;9,1035;9,1035;10,431
02/01/09 12:00;242,34;-2,5001;1,73;-2,0572;40,92;19,107;19,118;671,24;98,719;6,1089;65,035;65,035;66,264
02/01/09 13:00;43,627;-2,3202;2,0101;12,511;42,767;18,194;18,606;652,25;17,139;-0,7852;9,8557;9,8557;11,179
02/01/09 14:00;166,41;-2,6102;2,1401;26,512;49,126;14,847;16,501;671,52;67,321;3,2743;43,977;43,977;45,207
02/01/09 15:00;15,841;-2,9002;2,2699;39,516;58,542;9,3913;12,101;630,51;6,0523;-2,3342;2,3777;2,3777;3,816
02/01/09 16:00;0;-3,1902;2,4;50,094;68,405;3,1616;4,921;0;0;0;-0,012;-0,012;0
02/01/09 17:00;0;-3,4301;2,4299;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 18:00;0;-3,67;2,4601;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 19:00;0;-3,9099;2,5;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 20:00;0;-3,9501;2,47;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 21:00;0;-3,9797;2,44;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 22:00;0;-4,0199;2,4101;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/09 23:00;0;-4,1103;2,37;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 00:00;0;-4,1998;2,3301;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 01:00;0;-4,2902;2,29;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 02:00;0;-4,6196;2,31;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 03:00;0;-4,94;2,34;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 04:00;0;-5,2702;2,36;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 05:00;0;-5,5503;2,31;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 06:00;0;-5,8403;2,26;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 07:00;0;-6,1303;2,21;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 08:00;0;-5,7697;2,2;-51,931;70,187;2,0409;3,3076;0;0;0;-0,012;-0,012;0
03/01/09 09:00;168,47;-5,4198;2,1899;-43,114;61,575;7,5768;10,327;678,54;66,693;0,4004;44,024;44,024;45,254
03/01/09 10:00;167;-5,0599;2,18;-30,416;51,513;13,569;15,635;677,67;67,416;0,824;44,456;44,456;45,686
03/01/09 11:00;135,82;-4,2097;1,86;-16,657;44,103;17,57;18,289;674,3;54,43;0,5538;35,462;35,462;36,702
03/01/09 12:00;266,58;-3,3602;1,54;-2,1704;40,821;19,209;19,222;672,76;108,7;6,1115;71,884;71,884;73,13
03/01/09 13:00;119,96;-2,51;1,2101;12,42;42,635;18,314;18,722;668,86;47,978;1,6996;30,846;30,846;32,09
03/01/09 14:00;188,67;-2,9503;1,1301;26,445;48,98;14,98;16,639;672,72;76,508;3,7289;50,245;50,245;51,468
03/01/09 15:00;32,67;-3,38;1,0501;39,471;58,395;9,5325;12,273;648,99;12,778;-2,2256;6,9441;6,9441;8,2928
03/01/09 16:00;0;-3,8203;0,9699;50,257;68,457;3,1787;4,9645;0;0;0;-0,012;-0,012;0
03/01/09 17:00;0;-4,6796;0,8;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 18:00;0;-5,5397;0,64;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 19:00;0;-6,3998;0,48;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 20:00;0;-6,91;0,64;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 21:00;0;-7,43;0,8;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 22:00;0;-7,9401;0,9699;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/09 23:00;0;-8,18;1,07;0;90;0;0;0;0;0;-0,012;-0,012;0
04/01/09 00:00;0;-8,4199;1,1799;0;90;0;0;0;0;0;-0,012;-0,012;0
