PVSYST 7.2.11
;File;File date;Description
Projekt;München_Project.PRJ;17/02/22 10h48;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Munich Altstadt_PVGIS_API_TMY.SIT;17/02/22 10h48;Munich Altstadt;Germany;Europe;;
Wetterdaten;Munich_PVGIS-SARAH_ISO-TMY.MET;17/02/22 10h46;Munich;PVGIS-SARAH;ISO-TMY;2005-2016;ISO-TMY;
Simulationsvariante;München_Project.VE0;17/02/22 10h28;Hamburg3;
Simulation date;;17/02/22 10h50

Simulation:;Stundenwerte; von 01/01/17; bis 31/12/17 

Datum;GlobInc;T_Amb;WindVel;AzSol;AngInc;HSol;AngProf;UArray;IArray;TArray;E_Grid;EOutInv;EArray
     ;W/m²;°C;m/s;°;°;°;°;V;A;°C;kW;kW;kW

01/01/17 00:00;0;-0,5103;1,5299;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 01:00;0;-1,1397;1,5399;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 02:00;0;-1,7699;1,5499;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 03:00;0;-2,4001;1,5599;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 04:00;0;-3,0303;1,5699;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 05:00;0;-3,6597;1,5799;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 06:00;0;-4,2899;1,5899;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 07:00;0;-4,9201;1,5999;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 08:00;0;-4,0898;1,4899;-51,44;69,925;2,1042;3,3734;0;0;0;-0,012;-0,012;0
01/01/17 09:00;242,68;-3,2699;1,3699;-42,615;61,366;7,5962;10,272;708,16;101,33;5,1218;70,514;70,514;71,757
01/01/17 10:00;132,37;-2,4403;1,2599;-29,91;51,403;13,518;15,501;704,11;55,959;2,2183;38,165;38,165;39,402
01/01/17 11:00;197,54;-0,9001;1,01;-16,157;44,135;17,438;18,109;702,37;84,02;6,0757;57,797;57,797;59,013
01/01/17 12:00;243,7;0,6303;0,77;-1,6991;41,025;18,993;19,001;698,28;103,99;9,2651;71,368;71,368;72,612
01/01/17 13:00;237,13;2,1697;0,52;12,839;42,988;18,02;18,452;694,52;101,17;10,58;69,024;69,024;70,263
01/01/17 14:00;356,17;1,7203;0,67;26,799;49,422;14,623;16,294;692,01;152,58;14,407;104,14;104,14;105,58
01/01/17 15:00;196,46;1,2799;0,82;39,76;58,876;9,1286;11,807;696,81;82,709;8,1579;56,416;56,416;57,632
01/01/17 16:00;0;0,8297;0,97;50,114;68,559;3,0022;4,6756;0;0;0;-0,012;-0,012;0
01/01/17 17:00;0;-0,1397;0,85;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 18:00;0;-1,1003;0,74;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 19:00;0;-2,0698;0,62;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 20:00;0;-2,5102;1,4599;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 21:00;0;-2,9604;2,2999;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 22:00;0;-3,4001;3,1401;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/17 23:00;0;-3,2297;3,4601;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 00:00;0;-3,0601;3,7801;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 01:00;0;-2,8897;4,1;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 02:00;0;-2,7803;4,06;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 03:00;0;-2,6702;4,0101;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 04:00;0;-2,5601;3,9701;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 05:00;0;-2,2401;4,45;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 06:00;0;-1,9299;4,93;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 07:00;0;-1,6204;5,41;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 08:00;0;-0,2097;4,83;-51,581;69,966;2,1239;3,4155;0;0;0;-0,012;-0,012;0
02/01/17 09:00;115,56;1,2003;4,26;-42,755;61,39;7,6285;10,338;693,02;48,191;5,2289;32,154;32,154;33,397
02/01/17 10:00;191,63;2,6102;3,6801;-30,046;51,397;13,57;15,58;693,4;81,535;9,3974;55,319;55,319;56,536
02/01/17 11:00;89,152;3,82;4,62;-16,285;44,088;17,511;18,195;682,66;37,405;6,9641;24,271;24,271;25,535
02/01/17 12:00;90,103;5,0201;5,55;-1,8126;40,933;19,087;19,096;679,69;37,807;8,1999;24,434;24,434;25,697
02/01/17 13:00;62,655;6,2299;6,4799;12,746;42,863;18,132;18,559;670,07;26,148;8,446;16,226;16,226;17,521
02/01/17 14:00;34,327;5,7998;6,3299;26,729;49,283;14,748;16,423;658,15;14,159;7,0192;7,9848;7,9848;9,3189
02/01/17 15:00;30,658;5,3698;6,18;39,711;58,734;9,2626;11,97;656,66;12,637;6,462;6,9496;6,9496;8,2983
02/01/17 16:00;0;4,9398;6,03;50,272;68,614;3,0125;4,7071;0;0;0;-0,012;-0,012;0
02/01/17 17:00;0;4,6898;5,89;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 18:00;0;4,4398;5,75;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 19:00;0;4,1898;5,61;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 20:00;0;3,9197;5,21;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 21:00;0;3,6503;4,8;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 22:00;0;3,3803;4,4;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/17 23:00;0;3,1303;4,41;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 00:00;0;2,8699;4,43;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 01:00;0;2,6199;4,44;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 02:00;0;1,8996;4,18;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 03:00;0;1,1802;3,9301;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 04:00;0;0,4599;3,6701;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 05:00;0;0,5001;3,3301;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 06:00;0;0,5299;3,0001;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 07:00;0;0,5596;2,6601;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 08:00;0;1,0001;2,9001;-51,726;70,002;2,1499;3,4682;0;0;0;-0,012;-0,012;0
03/01/17 09:00;35,475;1,4302;3,1401;-42,898;61,409;7,6672;10,413;670,72;14,651;2,6871;8,4963;8,4963;9,8267
03/01/17 10:00;37,441;1,8699;3,3801;-30,185;51,385;13,628;15,668;670,75;15,467;3,1949;9,0468;9,0468;10,374
03/01/17 11:00;47,611;2,41;2,8101;-16,414;44,034;17,591;18,289;674,6;19,754;4,0912;12,014;12,014;13,326
03/01/17 12:00;252,52;2,9599;2,2399;-1,9254;40,835;19,188;19,198;692,33;107,83;11,928;73,401;73,401;74,651
03/01/17 13:00;103,47;3,5001;1,6699;12,655;42,732;18,251;18,674;685,71;43,518;7,1486;28,592;28,592;29,84
03/01/17 14:00;32,406;3,2798;1,4499;26,662;49,138;14,88;16,558;663,56;13,339;4,4291;7,5132;7,5132;8,8513
03/01/17 15:00;18,597;3,0499;1,2399;39,666;58,587;9,4024;12,14;650,31;7,546;3,7159;3,4907;3,4907;4,9072
03/01/17 16:00;0;2,8297;1,02;50,242;68,471;3,1563;4,9281;0;0;0;-0,012;-0,012;0
03/01/17 17:00;0;3,0998;2,0499;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 18:00;0;3,3803;3,0801;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 19:00;0;3,66;4,11;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 20:00;0;4,4799;6,4799;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 21:00;0;5,3103;8,8501;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 22:00;0;6,1302;11,21;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/17 23:00;0;6,1696;9,3;0;90;0;0;0;0;0;-0,012;-0,012;0
04/01/17 00:00;0;6,2001;7,3899;0;90;0;0;0;0;0;-0,012;-0,012;0
