PVSYST 7.2.11
;File;File date;Description
Projekt;München_Project.PRJ;17/02/22 10h48;Systemsimulation Anonymisierungsprojekt;
Geografischer Standort;Munich Altstadt_PVGIS_API_TMY.SIT;17/02/22 10h48;Munich Altstadt;Germany;Europe;;
Wetterdaten;Munich Altstadt_PVGIS_API_TMY.MET;17/02/22 10h48;Munich Altstadt;PVGIS api TMY;TMY;
Simulationsvariante;München_Project.VE0;17/02/22 10h28;Hamburg3;
Simulation date;;17/02/22 10h50

Simulation:;Stundenwerte; von 01/01/18; bis 31/12/18 

Datum;GlobInc;T_Amb;WindVel;AzSol;AngInc;HSol;AngProf;UArray;IArray;TArray;E_Grid;EOutInv;EArray
     ;W/m²;°C;m/s;°;°;°;°;V;A;°C;kW;kW;kW

01/01/18 00:00;0;0;0;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 01:00;0;-2,3302;2,4;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 02:00;0;-2,7503;2,3299;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 03:00;0;-3,1698;2,27;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 04:00;0;-3,5899;2,2;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 05:00;0;-4,01;2,1299;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 06:00;0;-4,4302;2,0701;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 07:00;0;-4,8599;2;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 08:00;0;-5,28;1,9399;-51,44;69,925;2,1042;3,3734;0;0;0;-0,012;-0,012;0
01/01/18 09:00;242,72;-2,4702;1,26;-42,615;61,366;7,5962;10,272;706,15;101,35;5,9281;70,328;70,328;71,571
01/01/18 10:00;132,35;-0,9297;1,01;-29,91;51,403;13,518;15,501;700,17;55,97;3,7342;37,952;37,952;39,189
01/01/18 11:00;197,52;0,6203;0,77;-16,157;44,135;17,438;18,109;698,51;84,029;7,6042;57,48;57,48;58,695
01/01/18 12:00;243,71;2,1601;0,5199;-1,6991;41,025;18,993;19,001;694,46;104,01;10,806;70,985;70,985;72,229
01/01/18 13:00;237,14;1,7099;0,6701;12,839;42,988;18,02;18,452;695,67;101,17;10,118;69,139;69,139;70,379
01/01/18 14:00;356,14;1,2597;0,82;26,799;49,422;14,623;16,294;693,13;152,56;13,94;104,3;104,3;105,74
01/01/18 15:00;196,44;0,8102;0,97;39,76;58,876;9,1286;11,807;698;82,695;7,6849;56,505;56,505;57,721
01/01/18 16:00;0;-0,1598;0,85;50,114;68,559;3,0022;4,6756;0;0;0;-0,012;-0,012;0
01/01/18 17:00;0;-1,1299;0,7399;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 18:00;0;-2,1;0,62;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 19:00;0;-2,5399;1,46;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 20:00;0;-2,9901;2,3001;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 21:00;0;-3,4301;3,1399;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 22:00;0;-3,2599;3,46;0;90;0;0;0;0;0;-0,012;-0,012;0
01/01/18 23:00;0;-3,0898;3,7799;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 00:00;0;-2,93;4,1001;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 01:00;0;-2,8098;4,06;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 02:00;0;-2,6998;4,01;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 03:00;0;-2,5898;3,9699;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 04:00;0;-2,2803;4,45;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 05:00;0;-1,9702;4,9301;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 06:00;0;-1,66;5,41;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 07:00;0;-0,2398;4,83;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 08:00;0;1,1703;4,26;-51,581;69,966;2,1239;3,4155;0;0;0;-0,012;-0,012;0
02/01/18 09:00;115,55;2,5803;3,68;-42,755;61,39;7,6285;10,338;689,42;48,197;6,6131;31,985;31,985;33,228
02/01/18 10:00;191,61;3,7901;4,62;-30,046;51,397;13,57;15,58;690,42;81,538;10,583;55,077;55,077;56,295
02/01/18 11:00;89,162;5,0102;5,5501;-16,285;44,088;17,511;18,195;679,55;37,418;8,1578;24,163;24,163;25,427
02/01/18 12:00;90,122;6,2201;6,48;-1,8126;40,933;19,087;19,096;676,56;37,823;9,4038;24,326;24,326;25,589
02/01/18 13:00;62,647;5,7897;6,3301;12,746;42,863;18,132;18,559;671,23;26,143;8,0047;16,253;16,253;17,548
02/01/18 14:00;34,324;5,3497;6,1799;26,729;49,283;14,748;16,423;659,36;14,157;6,5686;8,0004;8,0004;9,3343
02/01/18 15:00;30,655;4,92;6,03;39,711;58,734;9,2626;11,97;657,86;12,635;6,0118;6,9636;6,9636;8,312
02/01/18 16:00;0;4,67;5,89;50,272;68,614;3,0125;4,7071;0;0;0;-0,012;-0,012;0
02/01/18 17:00;0;4,42;5,7501;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 18:00;0;4,1597;5,61;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 19:00;0;3,8899;5,21;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 20:00;0;3,62;4,8;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 21:00;0;3,3502;4,4;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 22:00;0;3,0899;4,41;0;90;0;0;0;0;0;-0,012;-0,012;0
02/01/18 23:00;0;2,8399;4,43;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 00:00;0;2,5803;4,44;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 01:00;0;1,8698;4,1799;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 02:00;0;1,1498;3,9301;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 03:00;0;0,4297;3,67;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 04:00;0;0,4598;3,3301;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 05:00;0;0,4898;3;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 06:00;0;0,5199;2,66;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 07:00;0;0,9598;2,9001;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 08:00;0;1,3998;3,1399;-51,726;70,002;2,1499;3,4682;0;0;0;-0,012;-0,012;0
03/01/18 09:00;35,472;1,8397;3,3799;-42,898;61,409;7,6672;10,413;669,61;14,651;3,097;8,4801;8,4801;9,8106
03/01/18 10:00;37,438;2,3897;2,81;-30,185;51,385;13,628;15,668;669,35;15,468;3,7152;9,0255;9,0255;10,353
03/01/18 11:00;47,607;2,9403;2,24;-16,414;44,034;17,591;18,289;673,18;19,755;4,6221;11,986;11,986;13,299
03/01/18 12:00;252,49;3,4902;1,6701;-1,9254;40,835;19,188;19,198;691,01;107,82;12,461;73,255;73,255;74,504
03/01/18 13:00;103,46;3,26;1,45;12,655;42,732;18,251;18,674;686,33;43,509;6,9073;28,613;28,613;29,862
03/01/18 14:00;32,403;3,04;1,24;26,662;49,138;14,88;16,558;664,21;13,337;4,1889;7,5207;7,5207;8,8587
03/01/18 15:00;18,592;2,8098;1,02;39,666;58,587;9,4024;12,14;650,96;7,5434;3,4754;3,494;3,494;4,9104
03/01/18 16:00;0;3,0803;2,05;50,242;68,471;3,1563;4,9281;0;0;0;-0,012;-0,012;0
03/01/18 17:00;0;3,3597;3,0801;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 18:00;0;3,6303;4,1101;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 19:00;0;4,4603;6,48;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 20:00;0;5,2801;8,85;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 21:00;0;6,0998;11,21;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 22:00;0;6,1299;9,3;0;90;0;0;0;0;0;-0,012;-0,012;0
03/01/18 23:00;0;6,1702;7,3899;0;90;0;0;0;0;0;-0,012;-0,012;0
04/01/18 00:00;0;6,2003;5,48;0;90;0;0;0;0;0;-0,012;-0,012;0
04/01/18 01:00;0;4,7602;4,9301;0;90;0;0;0;0;0;-0,012;-0,012;0
